"","MEAN","RMSE","MAE","MPE","MAPE","MASE"
"XGBoost",0.0485109983969381,5.626333797735,4.91117183140346,4.15691811867823,0.0919572248448618,0.866078020060775
"RF_1",0.0198017545119469,4.08747357583761,3.43225781633175,2.01512193595151,0.0650399880091178,0.605273681303317
"RF_2",0.0230845995777105,3.88852581850741,3.33810707073288,2.3322800937642,0.0631201476255707,0.588670334050404
"RF_3",0.0248886915400675,3.93557124402524,3.4110891943096,2.49067179155669,0.0644331110324763,0.601540625552524
"Ridge",0.0353705375364577,4.88508926477688,4.07778194806181,3.44111230402126,0.0760412012354133,0.719110924450735
"Lasso",0.0309053934328405,4.41523675819878,3.77987794961247,2.9476824064922,0.0714983924077142,0.666575986964855
"elastic",0.0417415584356553,4.66364207300911,3.91957186366205,4.05964820410792,0.0725912682787345,0.691210805832518
"Combination_ml",0.0259418440226715,4.01322612348205,3.45515686514094,2.57629666173331,0.0652996243238319,0.609311895304938
"Combination_uni_ml",0.00616521200437647,3.50599212412962,3.01431971868947,0.702622038613971,0.0579151729442922,0.531570904748144
