"","MEAN","RMSE","MAE","MPE","MAPE","MASE"
"XGBoost",0.0368643628524037,1.96855697631835,1.96855697631835,3.5553698413349,0.035553698413349,NA
"RF_1",-0.0209350274216076,1.11793046431384,1.11793046431384,-2.13826742943062,0.0213826742943062,NA
"RF_2",-0.0177011209569394,0.945239859100568,0.945239859100568,-1.80200968713144,0.0180200968713144,NA
"RF_3",-0.00570688585342372,0.304747704572826,0.304747704572826,-0.573964133134126,0.00573964133134126,NA
"Ridge",0.00947849672925916,0.506151725342441,0.506151725342441,0.938949839939119,0.00938949839939119,NA
"Lasso",0.000129788188607982,0.00693068927166252,0.00693068927166252,0.0129771345820005,0.000129771345820005,NA
"elastic",0.009054580660665,0.48351460727951,0.48351460727951,0.897333091212629,0.00897333091212629,NA
"Combination_ml",-0.00724627611879469,0.386951144743634,0.386951144743634,-0.729916790487078,0.00729916790487078,NA
"Combination_uni_ml",-0.0389034934639082,2.0774465509727,2.0774465509727,-4.0478238344785,0.040478238344785,NA
