"","MEAN","RMSE","MAE","MPE","MAPE","MASE"
"XGBoost_train",2.9770094278625e-07,0.000375986852882447,0.000294275181266743,4.93586793027799e-05,5.55216447670434e-06,4.4165642672322e-05
"RF1_train",0.00035025589642812,3.02029991509732,2.22687867648286,0.447849978009054,0.0411834212117921,0.334216183222756
"RF2_train",0.000558646674363894,2.98241432907132,2.32686603751522,0.43476003169511,0.043149747417467,0.349222566160298
"RF3_train",0.00105528854874559,2.9969449302266,2.33909884207346,0.489268125510058,0.0434001337175762,0.351058499699354
"Ridge_train",4.44089209850063e-16,7.09234335088377,5.20601468317902,0.114921863546049,0.0958360365471691,0.781333251599397
"Lasso_train",NA,NA,NA,NA,NA,NA
"elastic_train",NA,NA,NA,NA,NA,NA
